Question,Option A,Option B,Option C,Option D,Correct Answer,Detailed Answer
What is the maximum speed allowed when passing a defective semi-automatic/manual stop signal in Automatic Block System?/स्वचालित ब्लॉक प्रणाली में खराब अर्द्ध-स्वचालित या मैन्युअल स्टॉप सिग्नल को पार करते समय अधिकतम अनुमत गति क्या है?,10 kmph,15 kmph,25 kmph,30 kmph,15 kmph,"According to GR 9.14 and SR 3.75.04(a), when a train is being piloted or piloted out by authorized personnel over a defective signal, the loco pilot should not exceed 15 kmph while negotiating facing/trailing points till the next stop signal.(GR 9.14 और SR 3.75.04(a) के अनुसार, जब किसी खराब सिग्नल पर अधिकृत कर्मचारी द्वारा ट्रेन को पायलट किया जा रहा हो या बाहर निकाला जा रहा हो, तो लोको पायलट को सामने वाले या पीछे वाले पॉइंट्स पार करते समय अगली स्टॉप सिग्नल तक अधिकतम 15 किमी प्रति घंटे की गति से ही चलना चाहिए।)"
"What authority is required for passing an Automatic signal at ‘ON’ when prolonged failure is not declared?/जब स्वचालित सिग्नल ‘ON’ स्थिति में हो और लंबी खराबी घोषित नहीं की गई हो, तो उसे पार करने के लिए कौन-सी प्राधिकृति आवश्यक होती है?",T/D 912,T/369(3b),T/B 912,No written authority,No written authority,"SR 9.12/1 states that no written authority is needed. The loco pilot must wait 1 minute by day or 2 minutes by night and then proceed cautiously at 15/10 kmph depending on visibility.(SR 9.12/1 के अनुसार, किसी भी लिखित प्राधिकृति की आवश्यकता नहीं होती। लोको पायलट को दिन में 1 मिनट और रात में 2 मिनट प्रतीक्षा करनी होती है, उसके बाद दृश्यता के अनुसार 15 या 10 किलोमीटर प्रति घंटे की गति से सावधानीपूर्वक आगे बढ़ना चाहिए।)"
"What is the speed restriction for the first train when passing defective Auto signals with communication available and prolonged failure declared?/जब स्वचालित सिग्नल ‘ऑन’ स्थिति में हो और लंबी खराबी घोषित नहीं की गई हो, तो उसे पार करने के लिए कौन-सी प्राधिकृति आवश्यक होती है?",10 kmph only,"25 kmph when clear, 10 kmph when not clear",30 kmph,Full sectional speed,"25 kmph when clear, 10 kmph when not clear","SR 9.12/2(A) specifies for the first train the limit is 25 kmph with clear visibility and 10 kmph otherwise, with attention on track. Authority used is T/D 912.(SR 9.12/2(A) के अनुसार, पहली ट्रेन के लिए गति सीमा स्पष्ट दृश्यता (clear visibility) होने पर 25 किमी प्रति घंटा और अन्यथा 10 किमी प्रति घंटा होती है, तथा ट्रैक पर विशेष ध्यान (attention on track) देना आवश्यक होता है। इस स्थिति में प्रयुक्त प्राधिकृति T/D 912 होती है।)"
"What written authority is issued for total interruption of communication in double line (when signal likely to fail for some time)?/दोहरी लाइन में जब संचार पूरी तरह बाधित हो जाए और सिग्नल कुछ समय तक खराब रहने की संभावना हो, तो किस लिखित प्राधिकरण (written authority) को जारी किया जाता है?",T/F 912,T/D 912,T/B 912,No written authority,T/B 912,"SR 9.12/2(B) requires T/B 912 when there is total communication failure and signals are likely to fail. All trains proceed at 15/10 kmph with 25 minutes gap.(SR 9.12/2(B) के अनुसार, जब संचार पूरी तरह से फेल हो और सिग्नल खराब रहने की संभावना हो, तब T/B 912 प्राधिकृति जारी की जाती है। सभी ट्रेनों को 15 या 10 किलोमीटर प्रति घंटे की गति से चलाया जाता है, और उनके बीच 25 मिनट का अंतराल रखा जाता है।)"
"In TSL working on double line, what must the LP of wrong line train do while running?/दोहरी लाइन पर TSL व्यवस्था में, गलत लाइन पर चल रही ट्रेन के लोको पायलट को चलते समय क्या करना चाहिए?",Whistle and stop at every station,"Inform gangmen, whistle frequently, and switch on flasher",Run silently to avoid confusion,Ignore signals,"Inform gangmen, whistle frequently, and switch on flasher","SR 9.12/3 mandates that during TSL working, the LP must inform all gatemen/gangmen and keep flasher light on, whistle frequently, especially in wrong direction.(SR 9.12/3 के अनुसार, TSL व्यवस्था के दौरान लोको पायलट को सभी गेटमैन और गैंगमैन को सूचना देनी चाहिए, फ्लैशर लाइट चालू रखनी चाहिए, और विशेष रूप से गलत दिशा में चलते समय बार-बार हॉर्न बजाना चाहिए।)"
What is the interval between dispatch of two trains in case of total communication failure in double line section?/दोहरी लाइन सेक्शन में संचार पूरी तरह फेल होने की स्थिति में दो ट्रेनों के प्रेषण (dispatch) के बीच का अंतराल कितना होना चाहिए?,10 minutes,15 minutes,25 minutes,30 minutes,25 minutes,"As per SR 9.12/2(B), in such situations, a strict 25-minute interval must be maintained to ensure safety since there’s no communication available.(SR 9.12/2(B) के अनुसार, ऐसी स्थिति में जब संचार उपलब्ध नहीं होता, तो सुरक्षा सुनिश्चित करने के लिए ट्रेनों के बीच सख्ती से 25 मिनट का अंतराल बनाए रखना अनिवार्य होता है।)"
"In single line working in ABS with no communication due to signal failure, what is the first authority issued?/Automatic Block System (ABS) में single line working के दौरान, यदि signal failure की वजह से communication नहीं है, तो पहली कौन-सी authority जारी की जाती है?",T/A 912,T/G 602,T/B 602 + T/A 912,T/F 602,T/B 602 + T/A 912,"SR 9.12/4 prescribes this combination of authorities for opening communication before train movements are permitted.(SR 9.12/4 के अनुसार, ट्रेन संचालन की अनुमति देने से पहले संचार स्थापित करने के लिए प्राधिकृत पत्रों (authorities) का यह संयोजन निर्धारित किया गया है।)"
"In single line working on double line with no communication & failed signal, what is the speed for the first train?/दोहरी लाइन पर सिंगल लाइन व्यवस्था में, जब संचार नहीं हो और सिग्नल फेल हो, तो पहली ट्रेन की गति क्या होनी चाहिए?",25 kmph without restriction,10 kmph,15/10 kmph,50 kmph,15/10 kmph,"SR 9.12/5 instructs that the first train after authority should move at 15/10 kmph with flasher ON and full protection (250M, 250M, 10M).(SR 9.12/5 के अनुसार, प्राधिकृति मिलने के बाद पहली ट्रेन को 15/10 किलोमीटर प्रति घंटा की गति से चलना चाहिए, फ्लैशर लाइट चालू रखनी चाहिए और पूरी सुरक्षा (250 मीटर, 250 मीटर, 10 मीटर) के साथ आगे बढ़ना चाहिए।)"
"In case of communication available but direction of traffic not established, how should the first train proceed?/यदि संचार उपलब्ध हो लेकिन ट्रैफिक की दिशा तय नहीं हुई हो, तो पहली ट्रेन को कैसे आगे बढ़ना चाहिए?",At normal speed,At 50 kmph,At 25/10 kmph,Wait till traffic direction is decided,At 25/10 kmph,"As per SR 9.12/6, until the direction of traffic is fixed, first train moves at 25 kmph (clear) / 10 kmph (not clear), piloted out by hand signal.(SR 9.12/6 के अनुसार, जब तक ट्रैफिक की दिशा तय नहीं हो जाती, तब तक पहली ट्रेन को हाथ के सिग्नल के माध्यम से बाहर निकाला जाता है और गति सीमा साफ़ दृश्यता होने पर 25 किमी प्रति घंटा तथा दृश्यता स्पष्ट न होने पर 10 किमी प्रति घंटा होती है।)"
What is the maximum speed for a relief engine/train on an obstructed line in ABS section?/ABS सेक्शन में बाधित लाइन पर राहत इंजन/ट्रेन की अधिकतम गति क्या होनी चाहिए?,20 kmph,25 kmph,"15 kmph (clear), 10 kmph (impaired)",30 kmph,"15 kmph (clear), 10 kmph (impaired)","CS 59(3) clearly mentions relief engines should not exceed 15 kmph in clear view or 10 kmph when view is impaired, and must whistle frequently.(CS 59(3) में स्पष्ट रूप से उल्लेख किया गया है कि राहत इंजन (relief engines) को साफ़ दृश्यता में अधिकतम 15 किमी प्रति घंटा और यदि दृश्यता बाधित हो तो अधिकतम 10 किमी प्रति घंटा की गति से चलना चाहिए, तथा बार-बार हॉर्न (whistle) बजाना अनिवार्य है।)"
